ReturnID,Order_ID ,Return Date,Reason,Refund Amount,Restocked?
RET700879,ORD-106127,23/04/2025,Late Delivery,-264.91,Yes
RET700880,ORD-108084,08/27/2024,Defective,,N
RET700881,ORD-102181,"March 15, 2025",Changed Mind,-239.41,No
RET700882,ORD-103933,2025-12-01,Damaged in Shipping,$106.91,N
RET700883,ORD-105537,12/30/2025,No Longer Needed,67.46,Y
RET700884,ORD-106818,16/04/2026,No Longer Needed,-288.57,Y
RET700885,ORD-106450,2024-08-10,Defective,73.38,No
RET700886,ORD-108561,23-Jun-2026,Damaged in Shipping,,Y
RET700887,ORD-100998,"April 04, 2024",Wrong Item,$51.79,Yes
RET700888,ORD-102761,14/04/2025,WRONG ITEM,$288.0,N
RET700889,ORD-102071,11/15/2024,,$238.55,No
RET700890,ORD-101651,12/05/2024,,201.68,
RET700891,ORD-100619,14-Nov-2024,,,N
RET700892,ORD-106669,10/07/2025,,,unknown
RET700893,ORD-107606,2025-09-10,Damaged in Shipping,-134.04,No
RET700894,ORD-105633,23/02/2024,WRONG ITEM,-16.31,N
RET700895,ORD-103239,03/09/2025,Defective,226.67,N
RET700896,ORD-104502,"October 25, 2025",,$230.39,No
RET700897,ORD-102747,2024/03/27,Wrong Item,-239.67,Y
RET700898,ORD-106077,2027-05-15,Damaged in Shipping,161.61,Y
RET700899,ORD-102698,"March 09, 2024",Wrong Item,$228.64,Y
RET700900,ORD-108841,2024-07-14,,-154.57,N
